opportunity_id,account_id,product_id,agent_id,deal_stage,engage_date,close_date,close_value,expected_value,win_probability,deal_source,discount_pct
EAZDUUM9,ACC084,PRD004,AGT014,Lost,11-11-2016,01-03-2017,9.89,0,0,Outbound,0.08
2STUSOFE,ACC015,PRD003,AGT003,Won,11-11-2016,03-03-2017,67,55,1,Inbound,0.11
JYKM0B00,ACC077,PRD002,AGT030,Won,12-11-2016,06-03-2017,4338,4821,1,Referral,0.15
KU28360J,ACC021,PRD001,AGT031,Won,12-11-2016,19-03-2017,578,550,1,Event,0.02
N4SD17JR,ACC001,PRD001,AGT021,Won,12-11-2016,01-03-2017,556,550,1,Referral,0.24
E67P9Y3Q,ACC033,PRD001,AGT025,Won,12-11-2016,03-03-2017,635,550,1,Referral,0.14
AT3MMVIS,ACC071,PRD004,AGT016,Won,12-11-2016,07-03-2017,3045,3393,1,Inbound,0.13
REJ11LRY,ACC049,PRD006,AGT015,Won,13-11-2016,14-03-2017,1233,1096,1,Referral,0.21
ERV0CAZ7,ACC085,PRD003,AGT003,Won,13-11-2016,09-03-2017,60,55,1,Event,0.22
8SOQADK7,ACC030,PRD003,AGT001,Lost,14-11-2016,30-03-2017,5.11,0,0,Inbound,0.13
TCHFT25B,ACC066,PRD001,AGT010,Lost,14-11-2016,08-03-2017,8.05,0,0,Outbound,0.23
CZVN09WN,ACC045,PRD006,AGT010,Won,14-11-2016,20-03-2017,1170,1096,1,Partner,0.02
30UQWUKB,ACC028,PRD006,AGT007,Won,15-11-2016,20-03-2017,1162,1096,1,Referral,0.15
97UN20YY,ACC013,PRD004,AGT010,Won,16-11-2016,14-03-2017,3725,3393,1,Outbound,0.12
JXLERZ9O,ACC031,PRD001,AGT031,Won,16-11-2016,31-03-2017,559,550,1,Inbound,0.08
6ROE69W5,ACC054,PRD001,AGT025,Lost,16-11-2016,11-03-2017,9.32,0,0,Partner,0.1
0DFXFKT7,ACC060,PRD006,AGT010,Lost,17-11-2016,21-03-2017,2.64,0,0,Partner,0.21
XKMZVSN4,ACC065,PRD005,AGT030,Won,17-11-2016,05-03-2017,4667,5482,1,Partner,0.15
IU8V0BZK,ACC023,PRD006,AGT007,Won,17-11-2016,17-03-2017,903,1096,1,Event,0.25
XY42936P,ACC024,PRD006,AGT034,Won,17-11-2016,13-03-2017,1180,1096,1,Outbound,0.2
XRN54MBM,ACC059,PRD001,AGT009,Won,17-11-2016,05-03-2017,487,550,1,Outbound,0.07
2V848WZD,ACC066,PRD004,AGT004,Won,18-11-2016,04-03-2017,3180,3393,1,Partner,0.07
ONYNTUCG,ACC025,PRD002,AGT010,Lost,19-11-2016,17-03-2017,8.51,0,0,Referral,0.08
HIOHX80Y,ACC030,PRD004,AGT010,Won,19-11-2016,18-03-2017,3563,3393,1,Referral,0.21
LPKT07PV,ACC053,PRD002,AGT022,Won,20-11-2016,23-03-2017,4704,4821,1,Partner,0.06
WPB2SLIG,ACC063,PRD005,AGT020,Won,20-11-2016,14-03-2017,5585,5482,1,Outbound,0.23
XUSUEAV7,ACC083,PRD007,AGT028,Won,20-11-2016,09-03-2017,25897,26768,1,Outbound,0.16
3TYPII47,ACC032,PRD006,AGT032,Won,20-11-2016,03-03-2017,1207,1096,1,Referral,0.05
7WAX8Z8O,ACC009,PRD004,AGT004,Lost,20-11-2016,08-03-2017,4.17,0,0,Inbound,0.22
MYDUMR3R,ACC057,PRD001,AGT004,Won,20-11-2016,04-03-2017,559,550,1,Outbound,0.22
0DRC1U9Q,ACC033,PRD001,AGT034,Engaging,20-11-2016,,,434.5,0.79,Outbound,
37JFKD4I,ACC015,PRD006,AGT009,Won,20-11-2016,09-03-2017,1033,1096,1,Inbound,0.11
25YKPHX8,ACC042,PRD001,AGT020,Won,21-11-2016,21-03-2017,462,550,1,Referral,0.21
BXXMA7F3,ACC050,PRD004,AGT026,Lost,21-11-2016,01-03-2017,5.6,0,0,Inbound,0.19
GIUUTBXM,ACC079,PRD002,AGT031,Won,21-11-2016,14-03-2017,5539,4821,1,Inbound,0.2
MFX2LR1Q,ACC059,PRD004,AGT004,Won,21-11-2016,15-03-2017,3573,3393,1,Partner,0.13
DUHE9FLY,ACC013,PRD002,AGT007,Won,21-11-2016,01-03-2017,4926,4821,1,Outbound,0.23
96BSG7R1,ACC070,PRD006,AGT033,Lost,21-11-2016,17-03-2017,6.26,0,0,Inbound,0.08
7FQMSWIX,ACC005,PRD003,AGT013,Won,22-11-2016,04-03-2017,62,55,1,Outbound,0.04
C20AVXN7,ACC030,PRD002,AGT010,Won,22-11-2016,14-03-2017,4359,4821,1,Partner,0.18
GS1QVWCR,ACC055,PRD001,AGT032,Won,22-11-2016,31-03-2017,566,550,1,Inbound,0.13
ZWH8FXY3,ACC072,PRD001,AGT007,Won,22-11-2016,03-03-2017,508,550,1,Referral,0.21
2U94Y3Q9,ACC075,PRD004,AGT014,Lost,22-11-2016,20-03-2017,7.67,0,0,Inbound,0.02
AAR79NOO,ACC011,PRD003,AGT003,Won,22-11-2016,11-03-2017,51,55,1,Inbound,0.21
B6B0PNR2,ACC014,PRD002,AGT024,Won,22-11-2016,05-03-2017,4899,4821,1,Outbound,0.07
M7I5O9YU,ACC010,PRD001,AGT013,Engaging,23-11-2016,,,330,0.6,Outbound,
LXZA2OSZ,ACC052,PRD005,AGT013,Won,23-11-2016,03-03-2017,5790,5482,1,Referral,0.01
N0ONCYVZ,ACC043,PRD003,AGT020,Lost,23-11-2016,30-03-2017,8.3,0,0,Referral,0.15
513DPFX5,ACC011,PRD002,AGT008,Won,23-11-2016,03-03-2017,4438,4821,1,Outbound,0.09
RU023K5W,ACC023,PRD004,AGT008,Won,23-11-2016,17-03-2017,2972,3393,1,Outbound,0.05
VDIU10RV,ACC047,PRD003,AGT027,Engaging,23-11-2016,,,29.15,0.53,Partner,
BZCBQ514,ACC079,PRD001,AGT027,Won,23-11-2016,01-03-2017,523,550,1,Inbound,0.21
HEE6P0QH,ACC067,PRD004,AGT001,Won,24-11-2016,25-03-2017,3647,3393,1,Outbound,0.08
L8CHRJ2B,ACC074,PRD004,AGT019,Won,24-11-2016,01-03-2017,4200,3393,1,Inbound,0.06
579LZ3F9,ACC041,PRD006,AGT018,Engaging,24-11-2016,,,822,0.75,Inbound,
SU8JNMP4,ACC008,PRD006,AGT032,Engaging,24-11-2016,,,745.28,0.68,Event,
V2X2KMUR,ACC022,PRD006,AGT032,Won,24-11-2016,28-03-2017,1059,1096,1,Partner,0.09
AJIPJP75,ACC011,PRD006,AGT007,Lost,24-11-2016,05-03-2017,6.06,0,0,Referral,0
NYVA2G6U,ACC019,PRD003,AGT003,Won,24-11-2016,02-03-2017,57,55,1,Outbound,0.2
FF45BXTL,ACC044,PRD004,AGT024,Won,24-11-2016,27-03-2017,3671,3393,1,Inbound,0.17
TTA9LYBS,ACC073,PRD003,AGT001,Won,25-11-2016,01-03-2017,58,55,1,Inbound,0.03
PAGZQH8L,ACC073,PRD004,AGT002,Won,25-11-2016,06-03-2017,3956,3393,1,Inbound,0.25
J7YF6DS7,ACC002,PRD005,AGT013,Won,25-11-2016,01-03-2017,5964,5482,1,Outbound,0.15
S5IXY4Z9,ACC002,PRD002,AGT013,Won,25-11-2016,06-03-2017,4570,4821,1,Referral,0.13
JQBJMETQ,ACC016,PRD003,AGT010,Won,25-11-2016,27-03-2017,49,55,1,Referral,0.1
0LVWSWEW,ACC018,PRD003,AGT012,Won,25-11-2016,06-03-2017,65,55,1,Inbound,0.22
K53BC1T9,ACC016,PRD003,AGT001,Lost,26-11-2016,27-03-2017,2.88,0,0,Event,0.06
D40N5I9Y,ACC023,PRD002,AGT010,Won,26-11-2016,08-03-2017,4739,4821,1,Referral,0.07
051QTX8Z,ACC029,PRD006,AGT009,Won,26-11-2016,21-03-2017,1080,1096,1,Referral,0.03
5D2XH04S,ACC056,PRD003,AGT021,Won,26-11-2016,12-03-2017,57,55,1,Referral,0.19
V9E582SK,ACC044,PRD001,AGT015,Won,27-11-2016,16-03-2017,469,550,1,Outbound,0.15
UK0LEZRJ,ACC012,PRD001,AGT031,Won,27-11-2016,03-03-2017,532,550,1,Inbound,0.15
PFFHM7HR,ACC053,PRD004,AGT027,Engaging,27-11-2016,,,2510.82,0.74,Outbound,
IT10CFQH,ACC044,PRD001,AGT025,Won,27-11-2016,26-03-2017,538,550,1,Partner,0.16
8VKD2CCH,ACC048,PRD002,AGT014,Won,27-11-2016,21-03-2017,4829,4821,1,Inbound,0.19
2XQAKBXH,ACC017,PRD005,AGT033,Won,27-11-2016,11-03-2017,5370,5482,1,Inbound,0.09
7G7YLGJO,ACC035,PRD005,AGT033,Won,27-11-2016,21-03-2017,6499,5482,1,Inbound,0.2
GCA97W27,ACC028,PRD006,AGT010,Won,28-11-2016,06-03-2017,1161,1096,1,Inbound,0.09
K8FUZHOG,ACC061,PRD001,AGT031,Won,28-11-2016,26-03-2017,576,550,1,Partner,0.19
5WJZMULK,ACC035,PRD006,AGT034,Won,28-11-2016,19-03-2017,979,1096,1,Referral,0.01
ZPYD4T9W,ACC066,PRD003,AGT003,Won,28-11-2016,07-03-2017,43,55,1,Outbound,0.14
KE9ZEDS8,ACC062,PRD003,AGT008,Won,29-11-2016,07-03-2017,57,55,1,Inbound,0.24
7KK0HQ4C,ACC059,PRD003,AGT004,Lost,29-11-2016,28-03-2017,7.39,0,0,Outbound,0.25
FP7014Z0,ACC025,PRD006,AGT004,Won,29-11-2016,12-03-2017,948,1096,1,Outbound,0.07
N4HFHDMW,ACC056,PRD004,AGT016,Won,29-11-2016,10-03-2017,3012,3393,1,Inbound,0.11
2HFLKREC,ACC084,PRD004,AGT019,Won,30-11-2016,15-03-2017,3665,3393,1,Outbound,0.02
7JVTTVCO,ACC027,PRD001,AGT012,Won,30-11-2016,24-03-2017,564,550,1,Outbound,0.22
3X13866U,ACC015,PRD006,AGT001,Lost,01-12-2016,06-03-2017,9.99,0,0,Referral,0.14
7LE19SYE,ACC037,PRD004,AGT019,Won,01-12-2016,22-03-2017,3463,3393,1,Referral,0.1
J5V2M7Y1,ACC027,PRD001,AGT013,Won,01-12-2016,26-03-2017,513,550,1,Inbound,0.03
41MURAI5,ACC044,PRD001,AGT013,Won,01-12-2016,28-03-2017,590,550,1,Outbound,0.24
QHI8WRIA,ACC019,PRD002,AGT010,Won,01-12-2016,30-03-2017,4511,4821,1,Referral,0.13
AJXAXV4W,ACC023,PRD004,AGT004,Lost,01-12-2016,02-03-2017,8.06,0,0,Outbound,0.07
VPDXX5PJ,ACC009,PRD001,AGT009,Won,01-12-2016,26-03-2017,546,550,1,Partner,0.09
PZB9NUK8,ACC079,PRD003,AGT024,Won,01-12-2016,05-03-2017,46,55,1,Referral,0.07
A0ANOYPF,ACC059,PRD002,AGT010,Won,02-12-2016,09-03-2017,4891,4821,1,Inbound,0.15
0P4AAPYX,ACC031,PRD006,AGT026,Won,02-12-2016,03-03-2017,1040,1096,1,Inbound,0.23
O6T5WC3W,ACC065,PRD006,AGT026,Won,02-12-2016,04-03-2017,1108,1096,1,Referral,0.21
0NO04P6C,ACC050,PRD003,AGT026,Won,02-12-2016,04-03-2017,59,55,1,Inbound,0.12
22OFSXBT,ACC067,PRD002,AGT006,Won,02-12-2016,30-03-2017,5406,4821,1,Referral,0.21
MRXZTMM6,ACC010,PRD001,AGT031,Won,02-12-2016,20-03-2017,515,550,1,Event,0.11
LGI8QEC2,ACC073,PRD001,AGT005,Won,02-12-2016,06-03-2017,583,550,1,Referral,0.06
6KZ0NCFX,ACC025,PRD003,AGT003,Won,02-12-2016,14-03-2017,54,55,1,Outbound,0.25
3SF8O9S6,ACC055,PRD003,AGT024,Won,02-12-2016,27-03-2017,60,55,1,Referral,0.08
XK668R7C,ACC019,PRD001,AGT010,Lost,03-12-2016,12-03-2017,0.76,0,0,Outbound,0.25
TZCAQWL3,ACC025,PRD002,AGT010,Lost,03-12-2016,19-03-2017,0.33,0,0,Event,0.03
BADC6A9H,ACC029,PRD001,AGT010,Won,03-12-2016,23-03-2017,516,550,1,Outbound,0.19
B8E0UUZR,ACC057,PRD002,AGT010,Won,03-12-2016,22-03-2017,4829,4821,1,Event,0.23
I043RXJV,ACC019,PRD006,AGT005,Lost,03-12-2016,17-03-2017,0.59,0,0,Event,0.13
MWWB44CC,ACC018,PRD006,AGT021,Won,03-12-2016,02-03-2017,950,1096,1,Inbound,0
HBTINPDG,ACC077,PRD006,AGT024,Lost,03-12-2016,09-03-2017,3,0,0,Inbound,0.09
DZ3KHZSX,ACC037,PRD001,AGT013,Won,04-12-2016,20-03-2017,513,550,1,Inbound,0.03
3W1K7X5F,ACC012,PRD002,AGT010,Lost,04-12-2016,09-03-2017,9.7,0,0,Inbound,0.1
45A57X68,ACC059,PRD005,AGT010,Won,04-12-2016,12-03-2017,5522,5482,1,Inbound,0.2
9SLYC4TR,ACC009,PRD003,AGT008,Won,04-12-2016,09-03-2017,56,55,1,Referral,0.11
JLWKWQYC,ACC017,PRD002,AGT030,Won,04-12-2016,08-03-2017,5673,4821,1,Inbound,0.11
7QC6FOKW,ACC077,PRD001,AGT032,Won,04-12-2016,10-03-2017,598,550,1,Outbound,0.14
XA184CMW,ACC057,PRD005,AGT007,Won,04-12-2016,16-03-2017,5787,5482,1,Partner,0.15
S0N7BYU3,ACC064,PRD006,AGT034,Won,04-12-2016,08-03-2017,1070,1096,1,Inbound,0.21
6WOMHAJM,ACC018,PRD004,AGT022,Won,05-12-2016,14-03-2017,3677,3393,1,Partner,0.08
G1QGATKV,ACC052,PRD005,AGT019,Won,05-12-2016,30-03-2017,5425,5482,1,Inbound,0.21
6XFVQI32,ACC080,PRD004,AGT020,Won,05-12-2016,23-03-2017,3415,3393,1,Referral,0.08
OGD4MDJ9,ACC047,PRD006,AGT034,Won,05-12-2016,21-03-2017,891,1096,1,Partner,0.09
4NGBUZWJ,ACC011,PRD001,AGT004,Won,06-12-2016,12-03-2017,609,550,1,Referral,0.16
EFG5DGV5,ACC055,PRD003,AGT027,Won,06-12-2016,16-03-2017,54,55,1,Partner,0.06
82MM4H33,ACC046,PRD006,AGT033,Won,06-12-2016,09-03-2017,1049,1096,1,Inbound,0.23
14PM641K,ACC027,PRD006,AGT019,Won,07-12-2016,07-03-2017,1152,1096,1,Inbound,0.14
DSBGHOPN,ACC056,PRD003,AGT018,Lost,07-12-2016,20-03-2017,6.26,0,0,Partner,0.23
1YSOZLHF,ACC074,PRD002,AGT018,Won,07-12-2016,28-03-2017,4799,4821,1,Partner,0.01
E8RP9FRW,ACC015,PRD003,AGT008,Won,07-12-2016,12-03-2017,51,55,1,Event,0.09
787IRG9Q,ACC041,PRD004,AGT026,Won,07-12-2016,03-03-2017,3426,3393,1,Outbound,0.01
0TUS4NAC,ACC057,PRD003,AGT006,Won,07-12-2016,11-03-2017,51,55,1,Outbound,0.07
FAJTQMUM,ACC024,PRD001,AGT032,Won,07-12-2016,20-03-2017,564,550,1,Partner,0.22
TWF0J0DF,ACC039,PRD005,AGT002,Won,08-12-2016,01-03-2017,5882,5482,1,Outbound,0.01
ICMXZOVL,ACC066,PRD002,AGT018,Engaging,08-12-2016,,,2940.81,0.61,Event,
UQ14O415,ACC056,PRD002,AGT020,Won,08-12-2016,20-03-2017,5059,4821,1,Partner,0.03
BOJSLNDG,ACC064,PRD004,AGT032,Won,08-12-2016,11-03-2017,3388,3393,1,Partner,0.16
DASMR0EK,ACC083,PRD005,AGT027,Won,08-12-2016,10-03-2017,5410,5482,1,Event,0.09
A76M0OOH,ACC081,PRD006,AGT021,Won,08-12-2016,28-03-2017,978,1096,1,Outbound,0.24
E1VKE2PH,ACC061,PRD003,AGT024,Won,08-12-2016,26-03-2017,54,55,1,Partner,0.18
SKY95DVG,ACC003,PRD003,AGT001,Lost,09-12-2016,22-03-2017,7.1,0,0,Outbound,0.11
V5OK4V5I,ACC008,PRD001,AGT019,Won,09-12-2016,14-03-2017,549,550,1,Partner,0.11
GJ4L5HHN,ACC049,PRD006,AGT013,Won,09-12-2016,14-03-2017,1034,1096,1,Outbound,0.23
9R8JWY3J,ACC075,PRD002,AGT020,Won,09-12-2016,03-03-2017,4998,4821,1,Inbound,0.14
0EOFVU05,ACC052,PRD004,AGT020,Won,09-12-2016,28-03-2017,3421,3393,1,Event,0.18
HNHOPL7M,ACC017,PRD005,AGT031,Won,09-12-2016,04-03-2017,5425,5482,1,Inbound,0.1
Y0NYI17R,ACC014,PRD003,AGT024,Won,09-12-2016,15-03-2017,55,55,1,Outbound,0.06
R4F4RGAL,ACC063,PRD004,AGT012,Won,09-12-2016,14-03-2017,3558,3393,1,Event,0.18
MNVMY83P,ACC056,PRD002,AGT019,Engaging,10-12-2016,,,3663.96,0.76,Event,
0ZHLQFGU,ACC006,PRD002,AGT032,Won,10-12-2016,22-03-2017,4839,4821,1,Referral,0.13
40DPY158,ACC036,PRD003,AGT027,Won,10-12-2016,25-03-2017,47,55,1,Referral,0.16
DP9E525R,ACC021,PRD006,AGT034,Won,10-12-2016,24-03-2017,1007,1096,1,Outbound,0.05
DBDUMQQK,ACC038,PRD003,AGT009,Won,10-12-2016,24-03-2017,48,55,1,Inbound,0.2
CNBN12RL,ACC073,PRD003,AGT003,Won,10-12-2016,07-03-2017,49,55,1,Outbound,0.24
OXL0YWEE,ACC049,PRD001,AGT012,Won,10-12-2016,18-03-2017,504,550,1,Referral,0.22
5CSSZJF4,ACC023,PRD001,AGT006,Won,11-12-2016,21-03-2017,543,550,1,Partner,0.2
0XG8TOJF,ACC021,PRD005,AGT031,Lost,11-12-2016,18-03-2017,5.75,0,0,Inbound,0.15
IIS0O91J,ACC021,PRD002,AGT031,Won,11-12-2016,28-03-2017,5149,4821,1,Outbound,0.14
2LP5SUR5,ACC073,PRD001,AGT004,Lost,11-12-2016,09-03-2017,1.95,0,0,Inbound,0.23
PYZZ3IS6,ACC006,PRD006,AGT027,Won,11-12-2016,11-03-2017,1043,1096,1,Outbound,0.13
5I4K5TQE,ACC069,PRD005,AGT019,Lost,12-12-2016,09-03-2017,1.01,0,0,Outbound,0.13
RV3LPOYP,ACC012,PRD001,AGT030,Won,12-12-2016,29-03-2017,437,550,1,Partner,0.01
1HVNTEPV,ACC043,PRD002,AGT014,Won,12-12-2016,11-03-2017,4465,4821,1,Inbound,0
LC85AQ1I,ACC044,PRD001,AGT024,Won,12-12-2016,18-03-2017,443,550,1,Inbound,0.23
TBV972NP,ACC069,PRD003,AGT012,Lost,12-12-2016,23-03-2017,8.63,0,0,Partner,0.1
EJMX0EIJ,ACC003,PRD005,AGT010,Won,13-12-2016,20-03-2017,4278,5482,1,Referral,0.12
VR9NYBOV,ACC043,PRD003,AGT015,Won,13-12-2016,06-03-2017,41,55,1,Inbound,0.21
3U25FK08,ACC039,PRD001,AGT006,Won,13-12-2016,28-03-2017,519,550,1,Inbound,0.15
CRLK4Z1P,ACC042,PRD001,AGT034,Won,13-12-2016,04-03-2017,524,550,1,Inbound,0.07
OGENAT0L,ACC064,PRD001,AGT033,Won,13-12-2016,27-03-2017,552,550,1,Partner,0.21
F57JWIDF,ACC045,PRD006,AGT008,Won,14-12-2016,02-03-2017,970,1096,1,Referral,0.04
J53D8EOL,ACC036,PRD006,AGT031,Engaging,14-12-2016,,,569.92,0.52,Inbound,
LF8JZ3Q5,ACC035,PRD006,AGT031,Won,14-12-2016,13-03-2017,1046,1096,1,Event,0.07
MRGBSMQ5,ACC070,PRD006,AGT031,Won,14-12-2016,14-03-2017,988,1096,1,Outbound,0.07
CBAV8ZJL,ACC011,PRD001,AGT004,Won,14-12-2016,22-03-2017,547,550,1,Outbound,0.17
NN4DWBVN,ACC064,PRD002,AGT034,Lost,14-12-2016,04-03-2017,3.95,0,0,Event,0.17
6JXHEZYK,ACC039,PRD003,AGT003,Won,14-12-2016,31-03-2017,54,55,1,Event,0.02
WDHNR2EI,ACC063,PRD003,AGT012,Won,14-12-2016,20-03-2017,57,55,1,Partner,0.04
4K750D6F,ACC080,PRD003,AGT012,Won,14-12-2016,18-03-2017,55,55,1,Outbound,0.13
94GI0ZJ7,ACC066,PRD005,AGT001,Won,15-12-2016,15-03-2017,5765,5482,1,Inbound,0.23
TODG6DEK,ACC005,PRD001,AGT018,Won,15-12-2016,16-03-2017,639,550,1,Partner,0.21
G0ECB8FS,ACC046,PRD002,AGT031,Won,15-12-2016,15-03-2017,5100,4821,1,Referral,0.24
96MZYUY0,ACC021,PRD002,AGT024,Won,15-12-2016,07-03-2017,4906,4821,1,Event,0.17
EZVKSQ9C,ACC028,PRD005,AGT022,Engaging,16-12-2016,,,3179.56,0.58,Inbound,
RJYG004O,ACC016,PRD001,AGT018,Engaging,16-12-2016,,,379.5,0.69,Outbound,
JZOKHHWN,ACC053,PRD006,AGT020,Won,16-12-2016,07-03-2017,1037,1096,1,Inbound,0.04
EH6I67I0,ACC054,PRD001,AGT030,Won,16-12-2016,15-03-2017,537,550,1,Outbound,0.14
JUUXF02Z,ACC035,PRD002,AGT031,Won,16-12-2016,09-03-2017,4694,4821,1,Inbound,0.1
OT87JDWO,ACC045,PRD001,AGT004,Won,16-12-2016,24-03-2017,560,550,1,Inbound,0.11
YHKT6YJ7,ACC015,PRD001,AGT005,Won,16-12-2016,13-03-2017,589,550,1,Inbound,0.13
H78I3TAY,ACC049,PRD001,AGT021,Won,16-12-2016,14-03-2017,493,550,1,Referral,0.03
1ROC43JK,ACC003,PRD003,AGT003,Won,16-12-2016,08-03-2017,50,55,1,Referral,0.09
LPZLQL48,ACC079,PRD001,AGT024,Won,16-12-2016,28-03-2017,492,550,1,Referral,0.02
3KR50X38,ACC044,PRD006,AGT013,Won,17-12-2016,13-03-2017,1255,1096,1,Inbound,0.06
Q3WLHRE9,ACC067,PRD001,AGT010,Won,17-12-2016,04-03-2017,463,550,1,Partner,0.22
IX7UEOAP,ACC037,PRD006,AGT020,Lost,17-12-2016,27-03-2017,7.89,0,0,Inbound,0.12
NQU62K1H,ACC082,PRD001,AGT020,Won,17-12-2016,12-03-2017,605,550,1,Event,0.03
NAQKOU0T,ACC021,PRD006,AGT026,Won,17-12-2016,20-03-2017,1315,1096,1,Inbound,0.1
I3V3GUAI,ACC085,PRD001,AGT004,Won,17-12-2016,02-03-2017,559,550,1,Event,0.03
PN4VJDXY,ACC060,PRD001,AGT005,Won,17-12-2016,28-03-2017,557,550,1,Inbound,0.05
K9D4DQ3R,ACC075,PRD003,AGT014,Won,17-12-2016,02-03-2017,48,55,1,Partner,0.01
9X6V79KE,ACC039,PRD005,AGT003,Won,17-12-2016,25-03-2017,6282,5482,1,Outbound,0.11
W1KLFNE4,ACC039,PRD004,AGT001,Won,18-12-2016,02-03-2017,3246,3393,1,Inbound,0.15
GD2OCW12,ACC023,PRD001,AGT010,Won,18-12-2016,14-03-2017,514,550,1,Event,0.05
6XO4RYXK,ACC063,PRD006,AGT020,Won,18-12-2016,15-03-2017,1132,1096,1,Outbound,0.09
18Y7GRPW,ACC063,PRD005,AGT015,Won,18-12-2016,21-03-2017,5918,5482,1,Referral,0.21
127ZPLXQ,ACC036,PRD002,AGT031,Lost,18-12-2016,18-03-2017,2.65,0,0,Referral,0.02
U07C2HEG,ACC042,PRD003,AGT034,Lost,18-12-2016,14-03-2017,3.29,0,0,Outbound,0.21
RNTOJ78L,ACC035,PRD003,AGT025,Lost,18-12-2016,13-03-2017,8.77,0,0,Referral,0.12
N07K7DR7,ACC054,PRD003,AGT014,Engaging,18-12-2016,,,42.9,0.78,Referral,
NLB4D5BQ,ACC030,PRD004,AGT003,Won,18-12-2016,24-03-2017,2955,3393,1,Event,0.08
FCFDJIEZ,ACC021,PRD002,AGT024,Won,18-12-2016,21-03-2017,3742,4821,1,Inbound,0.08
YZGDW4G1,ACC037,PRD003,AGT012,Won,18-12-2016,14-03-2017,64,55,1,Inbound,0.19
G8AO5FA2,ACC037,PRD004,AGT016,Lost,18-12-2016,27-03-2017,9.01,0,0,Event,0.2
125VIRMX,ACC076,PRD007,AGT028,Engaging,19-12-2016,,,18469.92,0.69,Partner,
LXXW3TRW,ACC061,PRD006,AGT028,Won,19-12-2016,18-03-2017,1164,1096,1,Outbound,0.24
8KJ3H262,ACC064,PRD003,AGT028,Won,19-12-2016,07-03-2017,65,55,1,Referral,0.02
88POGNEL,ACC009,PRD006,AGT008,Lost,19-12-2016,07-03-2017,8.67,0,0,Inbound,0.02
